student_code,first_name,last_name,email,phone,emergency_contact,emergency_contact_relationship,emergency_contact_phone,skill_level,notes
STU001,Emma,Smith,emma.smith@example.com,5553161365,Luke Smith,Mother,5552084970,Beginner I,"Focus on water comfort and basic floating"
STU002,Liam,Johnson,liam.johnson@example.com,5553724824,Madison Johnson,Father,5552999136,Beginner II,"Working on freestyle technique"
STU003,Olivia,Williams,olivia.williams@example.com,5554488111,Ava Williams,Father,5553388032,Beginner I,"Building confidence in deep water"
STU004,Noah,Brown,noah.brown@example.com,5557017702,Victoria Brown,Guardian,5557544256,Advanced I,"Preparing for regional competition"
STU005,Ava,Jones,ava.jones@example.com,5556789012,James Jones,Mother,5556789999,Intermediate I,"Improving butterfly technique"
STU006,Ethan,Garcia,ethan.garcia@example.com,5551234567,Sofia Garcia,Father,5551234599,Intermediate II,"Working on endurance training"
STU007,Sofia,Miller,sofia.miller@example.com,5559876543,Charlotte Miller,Mother,5559876500,Advanced II,"Focus on competition strategies"
STU008,Lucas,Davis,lucas.davis@example.com,5554567890,William Davis,Father,5554567899,Beginner II,"Developing backstroke form"
STU009,Isabella,Rodriguez,isabella.rodriguez@example.com,5552345678,Oliver Rodriguez,Mother,5552345699,Intermediate I,"Improving kick strength"
STU010,Mason,Martinez,mason.martinez@example.com,5558901234,Emily Martinez,Guardian,5558901299,Advanced I,"Refining racing dives"
STU011,Mia,Hernandez,mia.hernandez@example.com,5557890123,Ella Hernandez,Mother,5557890199,Beginner I,"Learning basic strokes"
STU012,James,Lopez,james.lopez@example.com,5553456789,Luna Lopez,Father,5553456799,Intermediate II,"Working on flip turns"
STU013,Charlotte,Gonzalez,charlotte.gonzalez@example.com,5559012345,Scarlett Gonzalez,Mother,5559012399,Advanced II,"Competition preparation"
STU014,Aiden,Wilson,aiden.wilson@example.com,5554321098,Victoria Wilson,Father,5554321099,Beginner II,"Building stroke efficiency"
STU015,Amelia,Anderson,amelia.anderson@example.com,5556543210,Grace Anderson,Guardian,5556543299,Intermediate I,"Improving breathing technique"
STU016,Benjamin,Thomas,benjamin.thomas@example.com,5552109876,Chloe Thomas,Mother,5552109899,Advanced I,"Sprint training focus"
STU017,Harper,Taylor,harper.taylor@example.com,5557654321,Penelope Taylor,Father,5557654399,Beginner I,"Water safety fundamentals"
STU018,William,Moore,william.moore@example.com,5553210987,Emma Moore,Mother,5553210999,Intermediate II,"Distance swimming practice"
STU019,Evelyn,Jackson,evelyn.jackson@example.com,5558765432,Olivia Jackson,Guardian,5558765499,Advanced II,"Competition technique refinement"
STU020,Oliver,Martin,oliver.martin@example.com,5551098765,Noah Martin,Father,5551098799,Beginner II,"Stroke development"
STU021,Abigail,Lee,abigail.lee@example.com,5555432109,Ethan Lee,Mother,5555432199,Intermediate I,"Working on coordination"
STU022,Elijah,Perez,elijah.perez@example.com,5559876543,Sofia Perez,Father,5559876599,Advanced I,"Preparing for nationals"
STU023,Emily,Thompson,emily.thompson@example.com,5554321098,Lucas Thompson,Guardian,5554321099,Beginner I,"Basic swimming skills"
STU024,Henry,White,henry.white@example.com,5558901234,Isabella White,Mother,5558901299,Intermediate II,"Improving stroke efficiency"
STU025,Elizabeth,Harris,elizabeth.harris@example.com,5553456789,Mason Harris,Father,5553456799,Advanced II,"Competition training"
STU026,Sebastian,Sanchez,sebastian.sanchez@example.com,5557890123,Mia Sanchez,Mother,5557890199,Beginner II,"Focus on technique"
STU027,Mila,Clark,mila.clark@example.com,5552345678,James Clark,Guardian,5552345699,Intermediate I,"Building endurance"
STU028,Daniel,Ramirez,daniel.ramirez@example.com,5556789012,Charlotte Ramirez,Father,5556789999,Advanced I,"Speed work"
STU029,Ella,Lewis,ella.lewis@example.com,5551234567,Aiden Lewis,Mother,5551234599,Beginner I,"Water confidence"
STU030,Matthew,Robinson,matthew.robinson@example.com,5555678901,Amelia Robinson,Father,5555678999,Intermediate II,"Stroke refinement"
STU031,Avery,Walker,avery.walker@example.com,5559012345,Benjamin Walker,Guardian,5559012399,Advanced II,"Competition prep"
STU032,Joseph,Young,joseph.young@example.com,5554567890,Harper Young,Mother,5554567899,Beginner II,"Developing form"
STU033,Luna,Allen,luna.allen@example.com,5558901234,William Allen,Father,5558901299,Intermediate I,"Breathing work"
STU034,David,King,david.king@example.com,5553456789,Evelyn King,Mother,5553456799,Advanced I,"Race preparation"
STU035,Camila,Wright,camila.wright@example.com,5557890123,Oliver Wright,Guardian,5557890199,Beginner I,"Basic techniques"
STU036,Carter,Scott,carter.scott@example.com,5552345678,Abigail Scott,Father,5552345699,Intermediate II,"Endurance training"
STU037,Scarlett,Torres,scarlett.torres@example.com,5556789012,Elijah Torres,Mother,5556789999,Advanced II,"Competition focus"
STU038,Owen,Nguyen,owen.nguyen@example.com,5551234567,Emily Nguyen,Father,5551234599,Beginner II,"Stroke development"
STU039,Victoria,Hill,victoria.hill@example.com,5555678901,Henry Hill,Guardian,5555678999,Intermediate I,"Technique work"
STU040,Wyatt,Flores,wyatt.flores@example.com,5559012345,Elizabeth Flores,Mother,5559012399,Advanced I,"Sprint training"
